dt,AverageTemperature,AverageTemperatureUncertainty,Country
1813-07-01,26.881,1.656,India
1813-08-01,25.304,1.193,India
1813-09-01,25.773,1.683,India
1813-10-01,23.198,1.232,India
1813-11-01,21.076,1.365,India
1813-12-01,15.816,1.602,India
1814-01-01,15.45,2.818,India
1814-02-01,18.596,1.16,India
1814-03-01,22.213,1.736,India
1814-04-01,26.526,1.315,India
1814-05-01,,,India
1814-06-01,28.93,1.638,India
1814-07-01,25.53,2.672,India
1814-08-01,25.325,1.478,India
1814-09-01,24.583,1.304,India
1814-10-01,22.5,3.1,India
1814-11-01,21.007,4.345,India
1814-12-01,18.571,4.781,India
1815-01-01,15.915,2.2,India
1815-02-01,19.157,4.467,India
1815-03-01,22.208,2.973,India
1815-04-01,27.332,2.754,India
1815-05-01,29.24,3.093,India
1815-06-01,26.523,1.578,India
1815-07-01,26.316,2.536,India
1815-08-01,25.577,1.608,India
1815-09-01,25.154,1.309,India
1815-10-01,22.034,2.609,India
1815-11-01,18.865,1.966,India
1815-12-01,15.372,1.904,India
1816-01-01,16.376,4.049,India
1816-02-01,16.251,1.912,India
1816-03-01,22.414,1.484,India
1816-04-01,26.301,3.495,India
1816-05-01,29.514,2.011,India
1816-06-01,28.163,2.218,India
1816-07-01,25.06,1.475,India
1816-08-01,24.848,1.015,India
1816-09-01,23.977,0.993,India
1816-10-01,21.404,5.186,India
1816-11-01,18.967,6.089,India
1816-12-01,15.813,1.524,India
1817-01-01,15.916,4.174,India
1817-02-01,18.828,2.39,India
1817-03-01,22.551,1.555,India
1817-04-01,27.052,1.745,India
1817-05-01,28.28,1.945,India
1817-06-01,27.135,1.569,India
1817-07-01,25.614,1.664,India
1817-08-01,25.669,1.561,India
1817-09-01,23.313,2.474,India
1817-10-01,21.903,2.403,India
1817-11-01,19.313,2.148,India
1817-12-01,15.572,2.697,India
1818-01-01,16.076,3.074,India
1818-02-01,18.023,1.706,India
1818-03-01,23.085,1.558,India
1818-04-01,27.783,4.937,India
1818-05-01,29.952,2.935,India
1818-06-01,28.889,3.725,India
1818-07-01,25.302,2.884,India
1818-08-01,24.729,1.627,India
1818-09-01,24.058,1.452,India
1818-10-01,22.026,1.972,India
1818-11-01,19.335,4.398,India
1818-12-01,16.178,1.43,India
1819-01-01,14.385,2.081,India
1819-02-01,17.616,2.845,India
1819-03-01,22.021,5.902,India
1819-04-01,26.019,1.348,India
1819-05-01,28.662,1.219,India
1819-06-01,28.244,1.482,India
1819-07-01,25.901,1.101,India
1819-08-01,25.169,1.397,India
1819-09-01,24.613,0.979,India
1819-10-01,23.262,1.609,India
1819-11-01,19.983,1.474,India
1819-12-01,15.968,1.24,India
1820-01-01,14.902,4.208,India
1820-02-01,17.539,1.719,India
1820-03-01,22.622,1.686,India
1820-04-01,27.626,1.238,India
1820-05-01,29.083,1.364,India
1820-06-01,28.243,1.132,India
1820-07-01,25.972,2.486,India
1820-08-01,24.849,2.171,India
1820-09-01,24.896,1.711,India
1820-10-01,22.787,1.225,India
1820-11-01,19.562,1.243,India
1820-12-01,16.008,1.888,India
1821-01-01,17.268,2.727,India
1821-02-01,19.933,3.531,India
1821-03-01,23.809,1.599,India
1821-04-01,26.623,1.283,India
1821-05-01,29.613,1.576,India
1821-06-01,28.564,2.45,India
1821-07-01,26.174,1.744,India
1821-08-01,25.669,1.526,India
1821-09-01,24.188,1.295,India
1821-10-01,23.045,0.998,India
1821-11-01,20.411,2.299,India
1821-12-01,17.034,1.368,India
1822-01-01,17.522,2.84,India
1822-02-01,20.712,2.133,India
1822-03-01,25.528,1.562,India
1822-04-01,27.135,1.175,India
1822-05-01,29.57,1.272,India
1822-06-01,28.46,1.326,India
1822-07-01,26.667,1.089,India
1822-08-01,25.142,2.181,India
1822-09-01,24.52,1.653,India
1822-10-01,22.519,1.068,India
1822-11-01,19.336,1.57,India
1822-12-01,16.058,2.129,India
1823-01-01,16.882,1.567,India
1823-02-01,19.361,2.494,India
1823-03-01,23.47,1.495,India
1823-04-01,27.77,2.356,India
1823-05-01,29.427,1.344,India
1823-06-01,29.279,1.998,India
1823-07-01,26.703,1.282,India
1823-08-01,25.162,1.381,India
1823-09-01,23.894,1.247,India
1823-10-01,23.159,1.553,India
1823-11-01,19.397,2.925,India
1823-12-01,17.149,1.735,India
1824-01-01,17.323,1.277,India
1824-02-01,19.326,2.336,India
1824-03-01,23.737,1.458,India
1824-04-01,27.524,1.986,India
1824-05-01,29.551,1.485,India
1824-06-01,29.33,2.513,India
1824-07-01,28.039,2.991,India
1824-08-01,25.948,1.63,India
1824-09-01,25.79,1.601,India
1824-10-01,22.748,1.503,India
1824-11-01,20.546,1.571,India
1824-12-01,18.735,2.509,India
1825-01-01,17.412,2.315,India
1825-02-01,19.554,1.504,India
1825-03-01,23.61,1.934,India
1825-04-01,27.947,2.152,India
1825-05-01,29.516,1.295,India
1825-06-01,29.196,1.137,India
1825-07-01,26.856,2.081,India
1825-08-01,25.331,1.948,India
1825-09-01,24.905,1.579,India
1825-10-01,23.159,1.633,India
1825-11-01,21.021,1.626,India
1825-12-01,17.046,1.267,India
1826-01-01,17.047,1.304,India
1826-02-01,18.351,1.895,India
1826-03-01,23.743,1.47,India
1826-04-01,27.814,2.342,India
1826-05-01,30.463,1.398,India
1826-06-01,28.352,2.172,India
1826-07-01,27.152,1.275,India
1826-08-01,25.162,1.316,India
1826-09-01,24.969,1.881,India
1826-10-01,23.612,2.043,India
1826-11-01,21.067,1.149,India
1826-12-01,18.576,2.242,India
1827-01-01,17.876,2.532,India
1827-02-01,19.791,1.399,India
1827-03-01,24.153,1.916,India
1827-04-01,28.18,2.802,India
1827-05-01,29.563,2.334,India
1827-06-01,28.975,1.961,India
1827-07-01,27.285,1.356,India
1827-08-01,25.736,1.355,India
1827-09-01,24.674,1.172,India
1827-10-01,23.26,1.217,India
1827-11-01,21.007,1.185,India
1827-12-01,16.977,3.036,India
1828-01-01,16.118,2.725,India
1828-02-01,18.766,2.119,India
1828-03-01,23.678,1.991,India
1828-04-01,27.24,1.932,India
1828-05-01,29.547,2.206,India
1828-06-01,29.688,2.029,India
1828-07-01,27.167,1.411,India
1828-08-01,25.722,1.653,India
1828-09-01,23.899,1.162,India
1828-10-01,23.406,1.445,India
1828-11-01,20.851,1.465,India
1828-12-01,17.402,2.151,India
1829-01-01,16.815,1.529,India
1829-02-01,18.199,2.453,India
1829-03-01,23.331,1.424,India
1829-04-01,27.007,1.309,India
1829-05-01,29.775,2.861,India
1829-06-01,28.769,1.994,India
1829-07-01,26.73,1.509,India
1829-08-01,25.577,1.45,India
1829-09-01,24.601,1.499,India
1829-10-01,23.758,1.759,India
1829-11-01,19.862,2.411,India
1829-12-01,16.898,3.599,India
1830-01-01,17.047,2.38,India
1830-02-01,19.756,1.684,India
1830-03-01,23.056,1.384,India
1830-04-01,27.494,1.49,India
1830-05-01,27.903,1.915,India
1830-06-01,28.626,2.28,India
1830-07-01,27.355,1.724,India
1830-08-01,25.439,1.741,India
1830-09-01,24.538,1.864,India
1830-10-01,23.198,2.462,India
1830-11-01,21.574,1.872,India
1830-12-01,18.082,1.93,India
1831-01-01,16.565,2.079,India
1831-02-01,19.147,3.771,India
1831-03-01,23.557,2.902,India
1831-04-01,26.69,1.187,India
1831-05-01,29.921,2.44,India
1831-06-01,29.209,2.037,India
1831-07-01,26.245,1.489,India
1831-08-01,24.907,1.479,India
1831-09-01,24.056,1.387,India
1831-10-01,22.794,1.465,India
1831-11-01,19.301,3.983,India
1831-12-01,16.508,3.141,India
1832-01-01,16.078,1.742,India
1832-02-01,18.202,2.006,India
1832-03-01,23.534,1.741,India
1832-04-01,27.598,2.881,India
1832-05-01,29.973,2.338,India
1832-06-01,,,India
1832-07-01,27.105,2.123,India
1832-08-01,25.394,2.276,India
1832-09-01,24.211,1.896,India
1832-10-01,23.036,2.079,India
1832-11-01,19.455,1.184,India
1832-12-01,,,India
1833-01-01,16.995,2.545,India
1833-02-01,19.381,1.451,India
1833-03-01,23.141,2.343,India
1833-04-01,26.902,1.459,India
1833-05-01,28.941,1.521,India
1833-06-01,29.161,1.851,India
1833-07-01,26.9,1.425,India
1833-08-01,25.213,1.51,India
1833-09-01,24.817,1.339,India
1833-10-01,22.958,1.412,India
1833-11-01,20.702,1.566,India
1833-12-01,17.468,2.363,India
1834-01-01,15.609,1.725,India
1834-02-01,19.172,2.084,India
1834-03-01,23.655,2.106,India
1834-04-01,26.768,2.006,India
1834-05-01,30.234,1.429,India
1834-06-01,28.376,2.203,India
1834-07-01,26.552,1.407,India
1834-08-01,25.474,1.177,India
1834-09-01,25.195,1.988,India
1834-10-01,23.129,1.001,India
1834-11-01,20.486,1.759,India
1834-12-01,17.704,1.268,India
1835-01-01,16.966,2.011,India
1835-02-01,19.085,1.98,India
1835-03-01,22.397,1.135,India
1835-04-01,26.15,1.941,India
1835-05-01,28.282,1.2,India
1835-06-01,27.61,1.609,India
1835-07-01,25.674,1.487,India
1835-08-01,24.582,1.333,India
